Covariate	R2	SE	95CI	Percentile
Age	0.08697526	0.001954791	0.00383139036	10
Age	0.08189359	0.001944428	0.00381107888	30
Age	0.07374372	0.001771184	0.00347152064	50
Age	0.06892553	0.001806552	0.0035408419199999997	70
Age	0.06578524	0.001752882	0.00343564872	90
DBPadj	0.05779147	0.001692333	0.00331697268	10
DBPadj	0.06824159	0.001870175	0.003665543	30
DBPadj	0.07459450	0.001842380	0.0036110648	50
DBPadj	0.07751279	0.001998576	0.003917208960000001	70
DBPadj	0.08571182	0.002021837	0.0039628005199999995	90
DrinkFreqWkRaw	0.09254914	0.003514812	0.00688903152	10
DrinkFreqWkRaw	0.07962710	0.003158017	0.00618971332	30
DrinkFreqWkRaw	0.06888061	0.002998446	0.00587695416	50
DrinkFreqWkRaw	0.05867873	0.002885662	0.0056558975200000005	70
DrinkFreqWkRaw	0.05682858	0.002703871	0.00529958716	90
HbA1c	0.07029284	0.001785463	0.0034995074799999996	10
HbA1c	0.06675585	0.001790621	0.00350961716	30
HbA1c	0.07131415	0.001815651	0.00355867596	50
HbA1c	0.07396607	0.001922893	0.00376887028	70
HbA1c	0.08896488	0.002031983	0.00398268668	90
HDL	0.08793368	0.002022795	0.0039646782	10
HDL	0.07851403	0.001956071	0.00383389916	30
HDL	0.07196937	0.001898759	0.00372156764	50
HDL	0.06460315	0.001822575	0.003572247	70
HDL	0.04936576	0.001601891	0.00313970636	90
IPAQ	0.09408447	0.002274018	0.00445707528	10
IPAQ	0.07558083	0.002091201	0.00409875396	30
IPAQ	0.07357158	0.002067076	0.00405146896	50
IPAQ	0.06732413	0.001923475	0.0037700109999999998	70
IPAQ	0.06702882	0.001912604	0.00374870384	90
MeanDrinksWk	0.09221550	0.003772921	0.0073949251599999995	10
MeanDrinksWk	0.06864019	0.003324981	0.00651696276	30
MeanDrinksWk	0.06464099	0.003043505	0.0059652698	50
MeanDrinksWk	0.06465033	0.003123561	0.00612217956	70
MeanDrinksWk	0.06498991	0.003005127	0.005890048919999999	90
MVPAirnt	0.09248951	0.002262349	0.00443420404	10
MVPAirnt	0.08010646	0.002077129	0.00407117284	30
MVPAirnt	0.07277181	0.001968769	0.0038587872399999997	50
MVPAirnt	0.06491996	0.001960074	0.00384174504	70
MVPAirnt	0.06674529	0.001946591	0.0038153183599999997	90
PorkIntake	0.06484896	0.001846185	0.0036185226	10
PorkIntake	0.08002986	0.001899666	0.0037233453599999997	30
PorkIntake	0.07588738	0.001838696	0.00360384416	50
PorkIntake	0.07729436	0.001865927	0.0036572169200000003	70
PorkIntake	0.08103158	0.001909067	0.0037417713199999997	90
ProcMeatIntake	0.06794257	0.001713598	0.00335865208	10
ProcMeatIntake	0.07336462	0.001863514	0.00365248744	30
ProcMeatIntake	0.07559486	0.001846066	0.0036182893599999997	50
ProcMeatIntake	0.08140904	0.001879629	0.00368407284	70
ProcMeatIntake	0.08605512	0.001983312	0.0038872915200000003	90
TG	0.06331261	0.001726516	0.00338397136	10
TG	0.07780312	0.001998669	0.003917391239999999	30
TG	0.08007036	0.002001978	0.003923876880000001	50
TG	0.08732331	0.001993040	0.0039063584000000005	70
TG	0.08641520	0.001925416	0.00377381536	90
TotCholesterol	0.08307248	0.001963291	0.0038480503599999994	10
TotCholesterol	0.07863811	0.001965732	0.00385283472	30
TotCholesterol	0.07564595	0.001954356	0.0038305377599999997	50
TotCholesterol	0.06839314	0.001833162	0.0035929975199999998	70
TotCholesterol	0.06740723	0.001792010	0.0035123396	90
Townsend	0.06771091	0.001804017	0.0035358733199999997	10
Townsend	0.06992094	0.001782802	0.00349429192	30
Townsend	0.07330879	0.001862890	0.0036512644	50
Townsend	0.07760012	0.001881768	0.0036882652799999998	70
Townsend	0.08550668	0.002027450	0.003973802	90
VPA_NDays	0.08509088	0.002176469	0.00426587924	10
VPA_NDays	0.08048583	0.002167808	0.00424890368	30
VPA_NDays	0.07461474	0.002024377	0.00396777892	50
VPA_NDays	0.07118395	0.002047522	0.00401314312	70
VPA_NDays	0.06621842	0.001972612	0.0038663195199999997	90
