Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
Age	0.01916956	0.01213260	29.85945	1_3	0.038751339999999995	0.038751339999999995	0.1912784	3103	eMERGE	AFR	Continuous
Age	0.04635514	0.01483963	43.74706	1_3	0.038751339999999995	0.038751339999999995	0.1912784	3103	eMERGE	AFR	Continuous
Age	0.05792090	0.01783902	52.5367	1_3	0.038751339999999995	0.038751339999999995	0.1912784	3103	eMERGE	AFR	Continuous
Age	0.04882588	0.01477509	60.80663	1_3	0.038751339999999995	0.038751339999999995	0.1912784	3103	eMERGE	AFR	Continuous
Age	0.02254179	0.01208741	73.68747	1_3	0.038751339999999995	0.038751339999999995	0.1912784	3103	eMERGE	AFR	Continuous
HDL	0.03867511	0.01409117	31.56081	4_5	0.032142119999999996	-0.032142119999999996	0.2447788	3103	eMERGE	AFR	Continuous
HDL	0.02405987	0.01182725	42.48889	4_5	0.032142119999999996	-0.032142119999999996	0.2447788	3103	eMERGE	AFR	Continuous
HDL	0.03225978	0.01371216	50.07016	4_5	0.032142119999999996	-0.032142119999999996	0.2447788	3103	eMERGE	AFR	Continuous
HDL	0.05261673	0.01617799	59.59469	4_5	0.032142119999999996	-0.032142119999999996	0.2447788	3103	eMERGE	AFR	Continuous
HDL	0.02047461	0.01171897	80.2314	4_5	0.032142119999999996	-0.032142119999999996	0.2447788	3103	eMERGE	AFR	Continuous
LDL	0.03235550	0.01419321	55.06129	4_5	0.02539799	0.02539799	0.3709138	3103	eMERGE	AFR	Continuous
LDL	0.04619722	0.01590218	81.20258	4_5	0.02539799	0.02539799	0.3709138	3103	eMERGE	AFR	Continuous
LDL	0.02744470	0.01167075	98.79581	4_5	0.02539799	0.02539799	0.3709138	3103	eMERGE	AFR	Continuous
LDL	0.02502251	0.01226825	116.9968	4_5	0.02539799	0.02539799	0.3709138	3103	eMERGE	AFR	Continuous
LDL	0.05042050	0.01650521	154.4258	4_5	0.02539799	0.02539799	0.3709138	3103	eMERGE	AFR	Continuous
Sex	0.03901966	0.008220354	0	1_2	0.011041359999999997	-0.011041359999999997	0.5510733	3103	eMERGE	AFR	Binary
Sex	0.02797830	0.010781936	1	1_2	0.011041359999999997	-0.011041359999999997	0.5510733	3103	eMERGE	AFR	Binary
TG	0.03375896	0.013832088	48.98065	2_4	0.04436695	-0.04436695	0.1104216	3102	eMERGE	AFR	Continuous
TG	0.05935675	0.018317843	74.03871	2_4	0.04436695	-0.04436695	0.1104216	3102	eMERGE	AFR	Continuous
TG	0.02602087	0.011692790	96.41546	2_4	0.04436695	-0.04436695	0.1104216	3102	eMERGE	AFR	Continuous
TG	0.01498980	0.009962976	128.0032	2_4	0.04436695	-0.04436695	0.1104216	3102	eMERGE	AFR	Continuous
TG	0.03835304	0.014278730	227.1047	2_4	0.04436695	-0.04436695	0.1104216	3102	eMERGE	AFR	Continuous
TotCholesterol	0.04331781	0.01396970	122.4645	1_4	0.020493519999999998	-0.020493519999999998	0.4108733	3103	eMERGE	AFR	Continuous
TotCholesterol	0.04147950	0.01566270	153.6812	1_4	0.020493519999999998	-0.020493519999999998	0.4108733	3103	eMERGE	AFR	Continuous
TotCholesterol	0.03204887	0.01345185	174.6806	1_4	0.020493519999999998	-0.020493519999999998	0.4108733	3103	eMERGE	AFR	Continuous
TotCholesterol	0.02282429	0.01117909	195.8808	1_4	0.020493519999999998	-0.020493519999999998	0.4108733	3103	eMERGE	AFR	Continuous
TotCholesterol	0.03805110	0.01537761	238.7198	1_4	0.020493519999999998	-0.020493519999999998	0.4108733	3103	eMERGE	AFR	Continuous
Age	0.11945728	0.007906631	40.23141	1_5	0.0728733	-0.0728733	1.972431e-08	31961	eMERGE	EUR	Continuous
Age	0.09637412	0.006917609	56.2672	1_5	0.0728733	-0.0728733	1.972431e-08	31961	eMERGE	EUR	Continuous
Age	0.07521628	0.006341172	64.87759	1_5	0.0728733	-0.0728733	1.972431e-08	31961	eMERGE	EUR	Continuous
Age	0.05824057	0.005537917	72.67817	1_5	0.0728733	-0.0728733	1.972431e-08	31961	eMERGE	EUR	Continuous
Age	0.04658398	0.005082841	82.15163	1_5	0.0728733	-0.0728733	1.972431e-08	31961	eMERGE	EUR	Continuous
HDL	0.06761955	0.005889194	32.011	3_5	0.03394181	-0.03394181	0.00358832	31952	eMERGE	EUR	Continuous
HDL	0.08654646	0.006436305	42.32759	3_5	0.03394181	-0.03394181	0.00358832	31952	eMERGE	EUR	Continuous
HDL	0.08636955	0.006360234	50.52876	3_5	0.03394181	-0.03394181	0.00358832	31952	eMERGE	EUR	Continuous
HDL	0.07514427	0.006365611	60.52753	3_5	0.03394181	-0.03394181	0.00358832	31952	eMERGE	EUR	Continuous
HDL	0.05242774	0.005300162	81.58719	3_5	0.03394181	-0.03394181	0.00358832	31952	eMERGE	EUR	Continuous
LDL	0.07636942	0.006389649	55.89916	4_5	0.018266030000000003	-0.018266030000000003	0.1510361	31961	eMERGE	EUR	Continuous
LDL	0.08601918	0.006688490	80.18636	4_5	0.018266030000000003	-0.018266030000000003	0.1510361	31961	eMERGE	EUR	Continuous
LDL	0.08194997	0.006561835	97.91746	4_5	0.018266030000000003	-0.018266030000000003	0.1510361	31961	eMERGE	EUR	Continuous
LDL	0.08749753	0.006798237	117.7096	4_5	0.018266030000000003	-0.018266030000000003	0.1510361	31961	eMERGE	EUR	Continuous
LDL	0.06923150	0.005937018	154.8302	4_5	0.018266030000000003	-0.018266030000000003	0.1510361	31961	eMERGE	EUR	Continuous
Sex	0.08703645	0.003993701	0	1_2	0.013370759999999995	-0.013370759999999995	0.09480527	31961	eMERGE	EUR	Binary
Sex	0.07366569	0.004009897	1	1_2	0.013370759999999995	-0.013370759999999995	0.09480527	31961	eMERGE	EUR	Binary
TG	0.07209129	0.005890913	57.87709	4_5	0.014144709999999991	-0.014144709999999991	0.2593567	31939	eMERGE	EUR	Continuous
TG	0.08148592	0.006295730	87.15193	4_5	0.014144709999999991	-0.014144709999999991	0.2593567	31939	eMERGE	EUR	Continuous
TG	0.07807299	0.006440562	115.9431	4_5	0.014144709999999991	-0.014144709999999991	0.2593567	31939	eMERGE	EUR	Continuous
