Exposure	R2_main	R2_interaction	R2_diff	Beta	SE	P	N	Ancestry	Cohort
HDL	0.2169	0.2181	0.0011999999999999789	-0.0061259738	2.937921e-04	1.710369e-96	328719	EUR	UKBB
TotCholesterol	0.09096	0.09178	0.0008200000000000013	-0.0051834704	2.898111e-04	1.637771e-71	359221	EUR	UKBB
IPAQ	0.1094	0.1104	0.0010000000000000009	-0.0049370531	0.0002871223	3.113782e-66	304951	EUR	UKBB
MVPAirnt	0.1089	0.1099	0.0010000000000000009	-0.0049471816	2.910244e-04	8.918802e-65	304951	EUR	UKBB
IPAQBinary	0.1083	0.1092	0.0009000000000000119	-0.0046686066	2.809003e-04	5.304008e-62	304951	EUR	UKBB
DBPadj	0.188	0.1887	0.0007000000000000062	0.0045947505	2.813197e-04	6.063845e-60	352804	EUR	UKBB
Townsend	0.09931	0.1002	0.0008900000000000019	0.0044133832	2.741967e-04	2.861099e-58	376283	EUR	UKBB
Age	0.09041	0.09102	0.0006099999999999994	-0.0040995234	2.572154e-04	3.598917e-57	376729	EUR	UKBB
FVC	0.1261	0.1269	0.0008000000000000229	-0.0043888051	2.781770e-04	4.686494e-56	343467	EUR	UKBB
DrinkFreqWkRaw	0.1049	0.1073	0.0024000000000000132	-8.173254e-03	5.214879e-04	2.621984e-55	122281	EUR	UKBB
VPAbinary	0.1071	0.108	0.000899999999999998	-0.0090891842	5.886332e-04	9.067904e-54	304951	EUR	UKBB
LDL	0.09291	0.09349	0.0005799999999999972	-0.0042939553	2.849280e-04	2.632655e-51	358556	EUR	UKBB
VPA_NDays	0.1043	0.105	0.0006999999999999923	-0.0037565163	3.027559e-04	2.420474e-35	299963	EUR	UKBB
FEV1	0.1066	0.1071	0.0005000000000000004	-3.454798e-03	2.804124e-04	7.153371e-35	343544	EUR	UKBB
Sex	0.09041	0.09066	0.0002500000000000002	-0.0052807682	5.160136e-04	1.409948e-24	376729	EUR	UKBB
AlcoholMean	0.09609	0.09722	0.001130000000000006	-0.0041982072	4.370262e-04	7.650039e-22	126756	EUR	UKBB
HbA1c	0.1375	0.1377	0.00019999999999997797	0.0020242618	2.690784e-04	5.368054e-14	358798	EUR	UKBB
MeanDrinksWk	0.1028	0.1036	0.0007999999999999952	-3.478878e-03	4.675940e-04	1.014350e-13	112204	EUR	UKBB
WaterIntake	0.09225	0.09239	0.00014000000000000123	0.0021714380	2.976156e-04	2.968226e-13	347472	EUR	UKBB
Diabetes	0.1274	0.1278	0.0003999999999999837	0.0064968105	1.245519e-03	1.827806e-07	375903	EUR	UKBB
ProcMeatIntake	0.1032	0.1034	0.00020000000000000573	0.0015213338	2.944228e-04	2.377810e-07	376205	EUR	UKBB
StarchMean	0.08783	0.08801	0.0001799999999999996	0.0022161702	4.332986e-04	3.147766e-07	128346	EUR	UKBB
PackYears	0.1057	0.1059	0.00019999999999999185	2.358579e-03	4.638274e-04	3.681346e-07	114135	EUR	UKBB
ProteinMean	0.08704	0.08722	0.0001799999999999996	0.0021506039	4.322540e-04	6.522264e-07	128181	EUR	UKBB
SaturatedFatMean	0.08624	0.08641	0.00017000000000000348	0.0021086602	4.346392e-04	1.226632e-06	127899	EUR	UKBB
FatMean	0.08653	0.08666	0.0001300000000000051	0.0018727047	4.345823e-04	1.639639e-05	128092	EUR	UKBB
SatFatGramsWk	0.092	0.09204	3.999999999999837e-05	0.0011200610	2.610939e-04	1.788174e-05	364629	EUR	UKBB
RetinolMean	0.08648	0.08657	8.999999999999286e-05	0.0015646496	4.380338e-04	3.544193e-04	126029	EUR	UKBB
NeverVsCurrent	0.08531	0.08538	7.000000000000062e-05	0.0028299678	9.436866e-04	2.710344e-03	242693	EUR	UKBB
AmntOnDrnkDayRaw	0.112	0.1126	0.0006000000000000033	-0.0013198716	4.456584e-04	3.060876e-03	112296	EUR	UKBB
SBPadj	0.1386	0.1388	0.00020000000000000573	0.0008545740	3.001713e-04	4.414222e-03	352801	EUR	UKBB
LambMuttonIntake	0.09364	0.09368	3.999999999999837e-05	-0.0007951664	3.003779e-04	8.115989e-03	374710	EUR	UKBB
VitaminB6Mean	0.08651	0.08656	4.999999999999449e-05	0.0011279811	4.435789e-04	1.099452e-02	128413	EUR	UKBB
PorkIntake	0.09871	0.09877	5.9999999999990616e-05	7.567878e-04	2.989546e-04	1.135970e-02	374836	EUR	UKBB
TotalSugarsMean	0.09078	0.09088	0.00010000000000000286	-0.0010095516	4.364226e-04	2.071085e-02	128033	EUR	UKBB
FiberMean	0.09273	0.09279	5.9999999999990616e-05	0.0009821671	4.364043e-04	2.441322e-02	128213	EUR	UKBB
EduYears	0.1039	0.1039	0.0	-0.0005178987	2.588106e-04	4.538530e-02	373222	EUR	UKBB
MagnesiumMean	0.09546	0.09551	4.999999999999449e-05	-0.0008680409	4.414717e-04	4.927267e-02	128055	EUR	UKBB
CAD	0.09469	0.09473	3.999999999999837e-05	-0.0031996741	1.856403e-03	8.478298e-02	376729	EUR	UKBB
CheeseIntake	0.09575	0.09579	3.999999999999837e-05	0.0005227578	3.067484e-04	8.834637e-02	367940	EUR	UKBB
SaltAddedRawCont	0.09663	0.0967	7.000000000000062e-05	0.0005526262	3.294992e-04	9.351025e-02	304925	EUR	UKBB
PolyunFatMean	0.08681	0.08684	3.0000000000002247e-05	0.0006802032	4.399521e-04	1.220866e-01	127785	EUR	UKBB
IronMean	0.09422	0.09432	0.00010000000000000286	-0.0006561877	4.362325e-04	1.325283e-01	128333	EUR	UKBB
EnergyMean	0.08735	0.08739	3.999999999999837e-05	0.0005819857	4.428116e-04	1.887488e-01	128073	EUR	UKBB
SaltAddedBinary	0.09676	0.09683	7.000000000000062e-05	0.0007928338	6.360978e-04	2.126177e-01	304925	EUR	UKBB
FolateMean	0.08881	0.08882	9.999999999996123e-06	0.0005021981	4.457234e-04	2.598700e-01	127995	EUR	UKBB
BeefIntake	0.09984	0.09988	3.999999999999837e-05	0.0003325811	3.008241e-04	2.689149e-01	375513	EUR	UKBB
CarbohydrateMean	0.08994	0.08995	9.999999999996123e-06	0.0004109399	4.425667e-04	3.531304e-01	128066	EUR	UKBB
SmokingStatus	0.09336	0.09339	3.0000000000002247e-05	0.0003498293	4.131138e-04	3.971010e-01	375410	EUR	UKBB
CoffeeIntake	0.09148	0.09148	0.0	-0.0002466991	2.962779e-04	4.050365e-01	349332	EUR	UKBB
EverSmoked	0.09335	0.09339	3.999999999999837e-05	-0.0004138240	5.520390e-04	4.534791e-01	375448	EUR	UKBB
VitaminDMean	0.08711	0.08711	0.0	0.0003059790	4.357878e-04	4.826003e-01	127451	EUR	UKBB
VitaminB12Mean	0.08636	0.0864	3.999999999999837e-05	0.0003015940	4.398248e-04	4.928947e-01	127335	EUR	UKBB
TG	0.1733	0.1733	0.0	-1.901285e-04	2.787962e-04	4.952633e-01	358933	EUR	UKBB
CaroteneMean	0.08867	0.08867	0.0	0.0002548858	4.422446e-04	5.643825e-01	127588	EUR	UKBB
SleepDuration	0.09147	0.09149	2.0000000000006124e-05	0.0001665529	2.912971e-04	5.674828e-01	374681	EUR	UKBB
VitaminEMean	0.09378	0.09383	4.999999999999449e-05	-0.0002119488	4.418140e-04	6.314244e-01	127770	EUR	UKBB
PotassiumMean	0.0892	0.08926	6.0000000000004494e-05	-0.0001441988	4.368016e-04	7.413065e-01	128017	EUR	UKBB
VitaminCMean	0.0883	0.08832	1.9999999999992246e-05	-0.0001288854	4.459295e-04	7.725617e-01	127866	EUR	UKBB
FoodWeightMean	0.08608	0.08608	0.0	1.182249e-04	4.505191e-04	7.929987e-01	128304	EUR	UKBB
EverSmoker	0.09406	0.09409	2.999999999998837e-05	0.0001028059	5.601815e-04	8.543882e-01	375410	EUR	UKBB
CalciumMean	0.0878	0.08787	7.000000000000062e-05	2.493945e-05	4.420370e-04	9.550078e-01	127891	EUR	UKBB
