Exposure	Variable_type	R2_main	R2_interaction	R2_diff	Interaction_Beta	Interaction_SE	Interaction_P	PRS_beta	PRS_SE	N	Ancestry	Cohort	interaction_beta_div_prs_beta	Units	Original	Note
Age	Continuous	0.04487	0.04925	0.00438	0.001492156	0.000521053	4.24E-03	0.026552947	0.036959081	1789	AFR	GERA	0.056195495			
Age	Continuous	0.0659	0.06595	5.00E-05	-1.14E-04	2.76E-04	6.80E-01	5.19E-02	1.53E-02	3103	AFR	eMERGE	-0.002196532			
Age	Continuous	0.07053	0.07053	0	-1.06E-05	2.55E-04	9.67E-01	0.03139526	1.34E-02	7033	AFR	UKBB	-0.00033664			
Age	Continuous	0.07846	0.08066	0.0022	-0.000728676	0.000151832	1.62E-06	0.085716029	0.00822719	9674	AFR	PMBB	-0.008501047			
Age	Continuous	0.08776	0.08982	0.00206	-0.000588931	7.61E-05	1.05E-14	0.091654584	4.56E-03	26372	EUR	PMBB	-0.006425549			
Age	Continuous	0.09454	0.1003	0.00576	-0.00104439	7.32E-05	5.40E-46	0.125465951	4.74E-03	31961	EUR	eMERGE	-0.008324091			
Age	Continuous	0.07059	0.0716	0.00101	-0.000847309	0.000108447	5.68E-15	0.13073658	0.006930783	56049	EUR	GERA	-0.00648104			
Age	Continuous	0.09041	0.09102	0.00061	-0.000516409	3.24E-05	3.60E-57	0.074848838	1.86E-03	376729	EUR	UKBB	-0.006899359			
AlcoholDaysPerWeek	Continuous	0.05584	0.056	0.00016	-3.21E-03	0.00791859	6.85E-01	3.62E-02		1031	AFR	UKBB	-0.088702771	SD	DrinkFreqWkRaw	
AlcoholDaysPerWeek	Continuous	0.06854	0.07147	0.00293	0.048862394	0.02122693	2.15E-02	0.383002323		1699	AFR	GERA	0.127577278	SD		
AlcoholDaysPerWeek	Continuous	0.09999	0.1015	0.00151	-0.033741567	0.003716163	1.12E-19	0.243527625		54326	EUR	GERA	-0.138553345	SD		
AlcoholDaysPerWeek	Continuous	0.1049	0.1073	0.0024	-8.17E-03	5.21E-04	2.62E-55	4.10E-02		122281	EUR	UKBB	-0.199584726	SD	DrinkFreqWkRaw	
DBP	Continuous	0.1304	0.1305	0.0001	7.89E-05	1.62E-04	6.27E-01	2.03E-02	1.48E-02	6784	AFR	UKBB	0.0038867		DBPadj	
DBP	Continuous	0.09057	0.09064	7.00E-05	-0.000172949	0.000210791	4.12E-01	0.061480048	0.016758661	9651	AFR	PMBB	-0.002813091			
DBP	Continuous	0.1062	0.1065	0.0003	0.000352336	1.12E-04	1.62E-03	0.0311798	8.69E-03	26294	EUR	PMBB	0.011300137			
DBP	Continuous	0.188	0.1887	0.0007	0.000408053	2.50E-05	6.06E-60	0.007956813	2.35E-03	352804	EUR	UKBB	0.051283472		DBPadj	
HbA1c	Continuous	0.1199	0.121	0.0011	-0.00041865	0.000191479	2.89E-02	0.062887857	0.013535776	3531	AFR	PMBB	-0.006657088			
HbA1c	Continuous	0.09882	0.09957	0.00075	-4.50E-04	0.000221608	4.26E-02	4.87E-02	0.009720112	5703	AFR	UKBB	-0.009240246			
HbA1c	Continuous	0.1197	0.1199	0.0002	-4.23E-05	0.000184671	8.19E-01	0.051882266	0.012341941	6517	EUR	PMBB	-0.000814444			
HbA1c	Continuous	0.1375	0.1377	0.0002	0.000329302	4.38E-05	5.37E-14	0.031888121	1.87E-03	358798	EUR	UKBB	0.010326792			
HDL	Continuous	0.1232	0.125	0.0018	-2.24E-04	2.25E-04	3.19E-01	1.58E-02	1.98E-02	3103	AFR	eMERGE	-0.014177215			
HDL	Continuous	0.147	0.1474	0.0004	2.29E-04	0.0001458	1.17E-01	2.53E-02	0.011775534	6100	AFR	UKBB	0.009051383			
HDL	Continuous	0.1465	0.1465	0	0.000113451	0.000182231	5.34E-01	0.042116811	0.016085865	7015	AFR	PMBB	0.002693722			
HDL	Continuous	0.1631	0.1634	0.0003	-0.000199827	9.71E-05	3.97E-02	0.069457064	8.07E-03	14422	EUR	PMBB	-0.002876986			
HDL	Continuous	0.1798	0.1804	0.0006	-2.91E-04	6.25E-05	3.12E-06	6.46E-02	4.64E-03	31952	EUR	eMERGE	-0.004504644			
HDL	Continuous	0.2169	0.2181	0.0012	-0.000414342	1.99E-05	1.71E-96	0.063329568	1.15E-03	328719	EUR	UKBB	-0.006542631			
LDL	Continuous	0.0731	0.07352	0.00042	5.57E-05	1.24E-04	6.53E-01	3.35E-02	1.39E-02	3103	AFR	eMERGE	0.001662687			
LDL	Continuous	0.07476	0.07501	0.00025	8.07E-05	6.48E-05	2.13E-01	2.14E-02	8.42E-03	6581	AFR	UKBB	0.003771028			
LDL	Continuous	0.09851	0.099	0.00049	-0.000155229	7.96E-05	5.11E-02	0.063545578	8.50E-03	7013	AFR	PMBB	-0.002442798			
LDL	Continuous	0.08063	0.08064	1.00E-05	-2.29E-05	4.83E-05	6.35E-01	5.87E-02	5.32E-03	14288	EUR	PMBB	-0.000390119			
LDL	Continuous	0.09462	0.09469	7.00E-05	-3.09E-05	3.18E-05	3.31E-01	6.59E-02	4.06E-03	31961	EUR	eMERGE	-0.000468892			
LDL	Continuous	0.09291	0.09349	0.00058	-0.000127504	8.46E-06	2.63E-51	0.061157267	1.11E-03	358556	EUR	UKBB	-0.002084854			
PhysicalActivity	Continuous	0.06991	0.07223	0.00232	-0.005142041	0.021515567	8.11E-01	0.535808773		1747	AFR	GERA	-0.009596784	SD		
PhysicalActivity	Continuous	0.06941	0.07018	0.00077	-3.02E-03	0.002122527	1.55E-01	3.90E-02		5352	AFR	UKBB	-0.077435897	SD	PhysicalActivity	
PhysicalActivity	Continuous	0.1013	0.1024	0.0011	-0.028742124	0.003640856	2.97E-15	0.188766554		54845	EUR	GERA	-0.1522628	SD		
PhysicalActivity	Continuous	0.1089	0.1099	0.001	-0.004947182	2.91E-04	8.92E-65	0.043361755		304951	EUR	UKBB	-0.114090908	SD	PhysicalActivity	
Sex	Binary	0.04487	0.04859	0.00372	0.039143408	0.014835823	8.40E-03	0.101519251	0.020088323	1789	AFR	GERA	0.38557621			
Sex	Binary	0.0659	0.06716	0.00126	-1.85E-02	0.009072803	4.12E-02	5.18E-02	0.005163044	3103	AFR	eMERGE	-0.357142857			
Sex	Binary	0.07053	0.07243	0.0019	-0.015341602	4.05E-03	1.52E-04	0.037289791	2.70E-03	7033	AFR	UKBB	-0.411415607			
