Exposure	Interaction_Beta	PRS_beta	Ancestry	Cohort
Age	-0.015675426	0.059416882	EUR	eMERGE
HDL	-5.330367e-03	4.907456e-02	EUR	eMERGE
LDL	-0.001108898	0.062736366	EUR	eMERGE
Sex	-0.019501488	0.068515525	EUR	eMERGE
TG	-3.930332e-03	5.854966e-02	EUR	eMERGE
TotCholesterol	-0.002225648	0.058655636	EUR	eMERGE
Age	-1.765163e-03	4.591748e-02	AFR	eMERGE
HDL	-4.034557e-03	3.968396e-03	AFR	eMERGE
LDL	2.011738e-03	3.915781e-02	AFR	eMERGE
Sex	-1.853137e-02	5.177698e-02	AFR	eMERGE
TG	1.094613e-04	4.564752e-02	AFR	eMERGE
TotCholesterol	-5.560188e-04	1.853923e-02	AFR	eMERGE
Age	-0.0094537209	0.0576096895	EUR	PMBB
DBP	0.0038384591	0.0572361583	EUR	PMBB
EverSmoker	-0.0041267412	0.0680822212	EUR	PMBB
HDL	-0.0034106964	0.0591253030	EUR	PMBB
HbA1c	-0.0005743649	0.0500367783	EUR	PMBB
LDL	-0.0008162589	0.0564361331	EUR	PMBB
NeverVsCurrent	0.002120594	0.070546850	EUR	PMBB
Sex	-0.0159071005	0.0663796856	EUR	PMBB
TG	-0.007576644	0.057595256	EUR	PMBB
TotCholesterol	-0.0011040728	0.0560411556	EUR	PMBB
Age	-0.011643785	0.047919165	AFR	PMBB
DBP	-0.002024437	0.048194256	AFR	PMBB
EverSmoker	-0.0064907663	0.0474269217	AFR	PMBB
HDL	0.001781001	0.047883356	AFR	PMBB
HbA1c	-0.008356413	0.042076536	AFR	PMBB
LDL	-0.005547808	0.048003907	AFR	PMBB
NeverVsCurrent	-0.0028241419	0.0412974148	AFR	PMBB
Sex	-0.014224225	0.053314589	AFR	PMBB
TG	0.002941411	0.047546519	AFR	PMBB
TotCholesterol	-0.006878913	0.044418589	AFR	PMBB
Age	-0.032344036	0.221731685	EUR	GERA
AlcoholDaysPerWeek	-0.033741567	0.243527625	EUR	GERA
EduAttain	-0.0040100781	0.2122727001	EUR	GERA
EverSmoker	0.002954770	0.257988009	EUR	GERA
Income	0.004005396	0.392271651	EUR	GERA
NeverVsCurrent	0.043421578	0.253387510	EUR	GERA
PhysicalActivity	-0.028742124	0.188766554	EUR	GERA
Sex	-0.029252428	0.233835241	EUR	GERA
SmokingPackYears	0.001265507	0.256926272	EUR	GERA
Age	0.057430194	0.354195961	AFR	GERA
AlcoholDaysPerWeek	0.048862394	0.383002323	AFR	GERA
EduAttain	-0.030311733	0.388918366	AFR	GERA
EverSmoker	0.033898115	0.434303034	AFR	GERA
Income	-0.026871894	0.437515044	AFR	GERA
NeverVsCurrent	0.041858982	0.607412296	AFR	GERA
PhysicalActivity	-0.005142041	0.535808773	AFR	GERA
Sex	0.056406677	0.355232657	AFR	GERA
SmokingPackYears	0.029583511	0.438006965	AFR	GERA
Age	-0.0040995234	0.0454308229	EUR	UKBB
AlcoholMean	-0.0041982072	0.0568801604	EUR	UKBB
AmntOnDrnkDayRaw	-0.0013198716	0.0625533224	EUR	UKBB
BeefIntake	0.0003325811	0.0468166186	EUR	UKBB
CAD	-0.0031996741	0.0462752024	EUR	UKBB
CalciumMean	2.493945e-05	4.627489e-02	EUR	UKBB
CarbohydrateMean	0.0004109399	0.0442596340	EUR	UKBB
CaroteneMean	0.0002548858	0.0406717784	EUR	UKBB
CheeseIntake	0.0005227578	0.0549476689	EUR	UKBB
CoffeeIntake	-0.0002466991	0.0481801760	EUR	UKBB
DBPadj	0.0045947505	0.0423972069	EUR	UKBB
Diabetes	0.0064968105	0.0238959961	EUR	UKBB
DrinkFreqWkRaw	-8.173254e-03	4.095130e-02	EUR	UKBB
EduYears	-0.0005178987	0.0523061550	EUR	UKBB
EnergyMean	0.0005819857	0.0459275521	EUR	UKBB
EverSmoked	-0.0004138240	0.0498132391	EUR	UKBB
EverSmoker	0.0001028059	0.0491415331	EUR	UKBB
FEV1	-3.454798e-03	4.681417e-02	EUR	UKBB
FVC	-0.0043888051	0.0454341209	EUR	UKBB
FatMean	0.0018727047	0.0425838361	EUR	UKBB
FiberMean	0.0009821671	0.0418574990	EUR	UKBB
FolateMean	0.0005021981	0.0441315971	EUR	UKBB
FoodWeightMean	1.182249e-04	4.194850e-02	EUR	UKBB
HDL	-0.0061259738	0.0400650073	EUR	UKBB
HbA1c	0.0020242618	0.0437177955	EUR	UKBB
IPAQ	-0.0049370531	0.0395093000	EUR	UKBB
IPAQBinary	-0.0046686066	0.0368055123	EUR	UKBB
IronMean	-0.0006561877	0.0412747353	EUR	UKBB
LDL	-0.0042939553	0.0435457757	EUR	UKBB
LambMuttonIntake	-0.0007951664	0.0561818746	EUR	UKBB
MVPAirnt	-0.0049471816	0.0433617546	EUR	UKBB
MagnesiumMean	-0.0008680409	0.0403427195	EUR	UKBB
MeanDrinksWk	-3.478878e-03	4.541002e-02	EUR	UKBB
NeverVsCurrent	0.0028299678	0.0479662883	EUR	UKBB
PackYears	2.358579e-03	4.938197e-02	EUR	UKBB
PolyunFatMean	0.0006802032	0.0439319340	EUR	UKBB
PorkIntake	7.567878e-04	4.453588e-02	EUR	UKBB
PotassiumMean	-0.0001441988	0.0454156267	EUR	UKBB
ProcMeatIntake	0.0015213338	0.0411439595	EUR	UKBB
ProteinMean	0.0021506039	0.0445859054	EUR	UKBB
RetinolMean	0.0015646496	0.0415398945	EUR	UKBB
SBPadj	0.0008545740	0.0727827349	EUR	UKBB
SaltAddedBinary	0.0007928338	0.0487590398	EUR	UKBB
SaltAddedRawCont	0.0005526262	0.0485426831	EUR	UKBB
SatFatGramsWk	0.0011200610	0.0455537230	EUR	UKBB
SaturatedFatMean	0.0021086602	0.0428426396	EUR	UKBB
Sex	-0.0052807682	0.0479056353	EUR	UKBB
SleepDuration	0.0001665529	0.0463253389	EUR	UKBB
SmokingStatus	0.0003498293	0.0486802733	EUR	UKBB
StarchMean	0.0022161702	0.0402295718	EUR	UKBB
TG	-1.901285e-04	4.461359e-02	EUR	UKBB
TotCholesterol	-0.0051834704	0.0407998417	EUR	UKBB
TotalSugarsMean	-0.0010095516	0.0411670886	EUR	UKBB
Townsend	0.0044133832	0.0651267039	EUR	UKBB
VPA_NDays	-0.0037565163	0.0401110546	EUR	UKBB
VPAbinary	-0.0090891842	0.0442195738	EUR	UKBB
VitaminB12Mean	0.0003015940	0.0490477770	EUR	UKBB
VitaminB6Mean	0.0011279811	0.0439948907	EUR	UKBB
VitaminCMean	-0.0001288854	0.0399268237	EUR	UKBB
VitaminDMean	0.0003059790	0.0433626670	EUR	UKBB
VitaminEMean	-0.0002119488	0.0421152786	EUR	UKBB
WaterIntake	0.0021714380	0.0472500049	EUR	UKBB
Age	-8.459853e-05	3.084693e-02	AFR	UKBB
AlcoholMean	-2.539460e-03	3.604465e-02	AFR	UKBB
AmntOnDrnkDayRaw	-0.0010914728	0.0106483786	AFR	UKBB
BeefIntake	-0.0009449317	0.0310095642	AFR	UKBB
BeefWk	0.0001005845	0.0309078661	AFR	UKBB
CAD	-0.0165444893	0.0309263648	AFR	UKBB
CalciumMean	-3.863487e-04	3.348089e-02	AFR	UKBB
CarbohydrateMean	6.777440e-04	3.341449e-02	AFR	UKBB
CaroteneMean	-1.641985e-03	3.344389e-02	AFR	UKBB
CheeseIntake	2.610066e-03	3.041111e-02	AFR	UKBB
CheeseWk	0.0034728810	0.0304207610	AFR	UKBB
DBPadj	9.791031e-04	2.722002e-02	AFR	UKBB
Diabetes	-0.0066991741	0.0310533076	AFR	UKBB
DrinkFreqWkRaw	-3.211977e-03	3.621056e-02	AFR	UKBB
EnergyMean	1.540981e-03	3.322185e-02	AFR	UKBB
EverSmoker	-0.0020210470	0.0319945184	AFR	UKBB
FEV1	-1.694927e-03	1.029325e-02	AFR	UKBB
FVC	-3.294091e-03	2.103596e-02	AFR	UKBB
FatMean	3.465684e-03	3.296843e-02	AFR	UKBB
FiberMean	3.161613e-03	3.343052e-02	AFR	UKBB
FolateMean	-1.708643e-03	3.340540e-02	AFR	UKBB
FoodWeightMean	-9.431140e-04	3.323103e-02	AFR	UKBB
HDL	3.234908e-03	3.804547e-02	AFR	UKBB
HbA1c	-4.539938e-03	3.103700e-02	AFR	UKBB
HbA1cGreater48	-0.0025299666	0.0286572153	AFR	UKBB
IPAQ	-8.445707e-04	3.390996e-02	AFR	UKBB
IPAQBinary	2.414244e-03	3.120838e-02	AFR	UKBB
IronMean	2.309271e-03	3.327831e-02	AFR	UKBB
LDL	0.0026093587	0.0315702531	AFR	UKBB
LambMuttonIntake	0.0003728621	0.0309261074	AFR	UKBB
LambMuttonWk	0.0009692431	0.0313875547	AFR	UKBB
MVPAirnt	-3.019381e-03	3.904336e-02	AFR	UKBB
MagnesiumMean	2.098494e-04	3.345083e-02	AFR	UKBB
MeanDrinksWk	1.730673e-03	3.973614e-02	AFR	UKBB
NeverVsCurrent	-0.0007364355	0.0316430216	AFR	UKBB
PolyunFatMean	3.739451e-03	3.320411e-02	AFR	UKBB
PorkIntake	-0.0013157391	0.0308117121	AFR	UKBB
PorkWk	-0.0017173425	0.0307963746	AFR	UKBB
PotassiumMean	-0.0011411861	0.0334840828	AFR	UKBB
ProcMeatIntake	-0.0032119957	0.0308728704	AFR	UKBB
ProcMeatWk	-0.0029092491	0.0309377737	AFR	UKBB
ProteinMean	-4.097313e-04	3.326191e-02	AFR	UKBB
RetinolMean	3.064083e-03	3.313171e-02	AFR	UKBB
SBPadj	-0.0004191939	0.0286512047	AFR	UKBB
SaltAddedBinary	-0.0010826607	0.0315338244	AFR	UKBB
SaltAddedRawCont	-0.0001568908	0.0309438209	AFR	UKBB
SatFatGramsWk	1.509781e-03	3.048698e-02	AFR	UKBB
SaturatedFatMean	3.442902e-03	3.296298e-02	AFR	UKBB
Sex	-0.0153416015	0.0372897906	AFR	UKBB
SleepDuration	-0.0025226467	0.0309590812	AFR	UKBB
StarchMean	5.133866e-03	3.318996e-02	AFR	UKBB
TG	-4.018454e-03	3.384885e-02	AFR	UKBB
TotCholesterol	0.0027484747	0.0332408657	AFR	UKBB
TotalSugarsMean	-0.0034408151	0.0335385228	AFR	UKBB
Townsend	0.0025160842	0.0367434196	AFR	UKBB
VPA_NDays	-1.076105e-03	3.327170e-02	AFR	UKBB
VPAbinary	-2.715105e-03	3.589695e-02	AFR	UKBB
VitaminB12Mean	-8.766784e-04	3.359804e-02	AFR	UKBB
VitaminB6Mean	-1.337092e-03	3.336206e-02	AFR	UKBB
VitaminCMean	-4.912912e-03	3.346263e-02	AFR	UKBB
VitaminDMean	3.352264e-03	3.332048e-02	AFR	UKBB
VitaminEMean	4.772630e-03	3.351048e-02	AFR	UKBB
