Exposure	R2_main	Beta	P	N	Ancestry	Cohort	BMI
Age	0.02944	-0.05485	0.0132	1789	AFR	GERA	Ordinal
AlcoholDaysPerWeek	0.04229	-0.114860	5.26e-07	1699	AFR	GERA	Ordinal
EduAttain	0.03239	-0.027932	0.2009	1693	AFR	GERA	Ordinal
Income	0.04424	-0.012456	0.5949	1130	AFR	GERA	Ordinal
PhysicalActivity	0.02944	-0.126818	8.19e-09	1789	AFR	GERA	Ordinal
SmokingPackYears	0.03262	0.055865	0.01717	1662	AFR	GERA	Ordinal
Age	0.01343	-0.007824	1.17e-08	56049	EUR	GERA	Ordinal
AlcoholDaysPerWeek	0.0416	-0.0554110	2e-16	54326	EUR	GERA	Ordinal
EduAttain	0.01712	-0.0331556	2e-16	53871	EUR	GERA	Ordinal
Income	0.01058	-0.0211946	2e-16	32138	EUR	GERA	Ordinal
PhysicalActivity	0.01343	-0.0543743	2e-16	56049	EUR	GERA	Ordinal
SmokingPackYears	0.02373	0.0343361	2e-16	53213	EUR	GERA	Ordinal
Age	0.0418	-0.020395	1.08e-15	9674	AFR	PMBB	logBMI
DBP	0.04324	0.0278818	2e-16	9528	AFR	PMBB	logBMI
HDL	0.1139	-0.0598248	2e-16	7015	AFR	PMBB	logBMI
HbA1c	0.09269	0.0146589	0.00019	3531	AFR	PMBB	logBMI
LDL	0.0418	0.009612	0.000987	9674	AFR	PMBB	logBMI
TG	0.06355	0.013128	5.54e-06	7155	AFR	PMBB	logBMI
TotCholesterol	0.0611	-0.0067155	0.0213	7040	AFR	PMBB	logBMI
Age	0.01082	0.007428	1.20e-08	26372	EUR	PMBB	logBMI
DBP	0.01353	2.835e-02	2e-16	25707	EUR	PMBB	logBMI
HDL	0.09741	-0.0672464	2e-16	14422	EUR	PMBB	logBMI
HbA1c	0.04436	0.0403141	2e-16	6517	EUR	PMBB	logBMI
LDL	0.01082	0.0015554	0.38300	26372	EUR	PMBB	logBMI
TG	0.04511	0.0408532	2e-16	15079	EUR	PMBB	logBMI
TotCholesterol	0.007804	-0.0025260	0.160805	14417	EUR	PMBB	logBMI
Age	0.0419	8.511e-03	3.05e-05	7033	AFR	UKBB	logBMI
AlcoholMean	0.01712	-0.0004031	0.9104	2343	AFR	UKBB	logBMI
AmntOnDrnkDayRaw	0.02022	0.0137479	0.0335	763	AFR	UKBB	logBMI
BeefIntake	0.04348	7.095e-03	0.000654	7033	AFR	UKBB	logBMI
BeefWk	0.04225	4.015e-03	0.0591	7033	AFR	UKBB	logBMI
CalciumMean	0.01797	0.0049744	0.1548	2343	AFR	UKBB	logBMI
CarbohydrateMean	0.01795	0.0049303	0.1590	2343	AFR	UKBB	logBMI
CaroteneMean	0.01768	0.0040902	0.2458	2343	AFR	UKBB	logBMI
CheeseIntake	0.04276	-2.820e-03	0.187	6622	AFR	UKBB	logBMI
CheeseWk	0.04171	-0.0031439	0.143064	6435	AFR	UKBB	logBMI
DBPadj	0.05097	4.492e-02	2e-16	7031	AFR	UKBB	logBMI
DrinkFreqWkRaw	0.01991	-0.0006798	0.9041	1028	AFR	UKBB	logBMI
EnergyMean	0.04131	0.0087080	0.0132	6980	AFR	UKBB	logBMI
FEV1	0.05531	-2.861e-02	2e-16	6426	AFR	UKBB	logBMI
FVC	0.06171	-3.300e-02	2e-16	6426	AFR	UKBB	logBMI
FatMean	0.02011	0.0094110	0.0076	2343	AFR	UKBB	logBMI
FiberMean	0.01722	0.0017787	0.6124	2343	AFR	UKBB	logBMI
FolateMean	0.01878	0.0069818	0.0466	2343	AFR	UKBB	logBMI
FoodWeightMean	0.01978	0.0088264	0.0118	2343	AFR	UKBB	logBMI
HDL	0.1205	-5.177e-02	2e-16	6100	AFR	UKBB	logBMI
HbA1c	0.07491	3.296e-02	2e-16	5703	AFR	UKBB	logBMI
HbA1cGreater48	0.06139	0.0251465	2e-16	5703	AFR	UKBB	logBMI
IPAQ	0.03753	-1.107e-02	1.70e-06	5352	AFR	UKBB	logBMI
IronMean	0.01808	0.0053056	0.1299	2343	AFR	UKBB	logBMI
LDL	0.0445	8.966e-03	2.08e-05	6581	AFR	UKBB	logBMI
LambMuttonIntake	0.04333	6.637e-03	0.00118	7033	AFR	UKBB	logBMI
LambMuttonWk	0.04352	4.212e-03	0.0454	6783	AFR	UKBB	logBMI
