Beta	SE	Tau	N	Cohort	Ancestry
0.71639	0.00783	0.1	376729	UKBB	EUR
0.77619	0.00672	0.2	376729	UKBB	EUR
0.83306	0.00634	0.3	376729	UKBB	EUR
0.87655	0.00643	0.4	376729	UKBB	EUR
0.93746	0.00658	0.5	376729	UKBB	EUR
1.00931	0.00686	0.6	376729	UKBB	EUR
1.08312	0.00761	0.7	376729	UKBB	EUR
1.18159	0.00848	0.8	376729	UKBB	EUR
1.30927	0.01085	0.9	376729	UKBB	EUR
0.849979403091981	0.0895046163056968	0.1	7046	UKBB	AFR
0.872197541762907	0.0906281539993488	0.2	7046	UKBB	AFR
0.872513140085446	0.0809822229803534	0.3	7046	UKBB	AFR
0.853491516853456	0.0762468267580931	0.4	7046	UKBB	AFR
0.832884102144508	0.0740186903109279	0.5	7046	UKBB	AFR
0.867830715462145	0.078872044856776	0.6	7046	UKBB	AFR
0.919760873385573	0.0872555676301331	0.7	7046	UKBB	AFR
0.962456340564513	0.0908345045370757	0.8	7046	UKBB	AFR
1.3580292688434	0.124742005079677	0.9	7046	UKBB	AFR
0.625414051167335	0.0237279906012228	0.1	31961	eMERGE	EUR
0.728860798175099	0.0209640019816239	0.2	31961	eMERGE	EUR
0.799255859219384	0.0214865478876712	0.3	31961	eMERGE	EUR
0.874484509229499	0.0210752897630644	0.4	31961	eMERGE	EUR
0.924650934322222	0.0209681746705358	0.5	31961	eMERGE	EUR
0.997570505938578	0.022750286712796	0.6	31961	eMERGE	EUR
1.04945576148703	0.024159499545435	0.7	31961	eMERGE	EUR
1.1038767308079	0.0260695098988048	0.8	31961	eMERGE	EUR
1.15478720435312	0.0317288143365898	0.9	31961	eMERGE	EUR
0.657856500925586	0.125683749620049	0.1	3103	eMERGE	AFR
0.809908572442251	0.117483672308744	0.2	3103	eMERGE	AFR
0.889248843893062	0.100658209264089	0.3	3103	eMERGE	AFR
0.914628252530323	0.10458312065731	0.4	3103	eMERGE	AFR
0.968927194150768	0.108627102911287	0.5	3103	eMERGE	AFR
0.976963003128006	0.106023413864898	0.6	3103	eMERGE	AFR
1.05575948418526	0.103889758940297	0.7	3103	eMERGE	AFR
1.10400997018461	0.127363596101681	0.8	3103	eMERGE	AFR
0.963045187403331	0.140328050734309	0.9	3103	eMERGE	AFR
0.632150440108229	0.0285068751945242	0.1	26372	PMBB	EUR
0.743197304009804	0.0241906888858684	0.2	26372	PMBB	EUR
0.844897319645252	0.023646020302913	0.3	26372	PMBB	EUR
0.903670494548526	0.0247310424298637	0.4	26372	PMBB	EUR
0.952476864669103	0.0252706566641774	0.5	26372	PMBB	EUR
1.04308087178312	0.0256284096725023	0.6	26372	PMBB	EUR
1.11135623514502	0.0279486924202009	0.7	26372	PMBB	EUR
1.20586704716728	0.0329183506949703	0.8	26372	PMBB	EUR
1.30197181371689	0.0437895810945946	0.9	26372	PMBB	EUR
0.76726244426014	0.0781535885555933	0.1	9674	PMBB	AFR
0.782828096031761	0.0628635523034734	0.2	9674	PMBB	AFR
0.863152006505035	0.0551588565537566	0.3	9674	PMBB	AFR
0.949267684267594	0.0593921344877061	0.4	9674	PMBB	AFR
0.985908906692284	0.0587959988659873	0.5	9674	PMBB	AFR
1.00704503518356	0.0613733903264048	0.6	9674	PMBB	AFR
1.04341532975783	0.0619842297485076	0.7	9674	PMBB	AFR
1.0951892818918	0.068189364675159	0.8	9674	PMBB	AFR
0.964737348442493	0.0751949098574534	0.9	9674	PMBB	AFR
